name;price;url;page
Кушетка Ринт Bucle Blue;21 990;https://www.divan.ru/product/kushetka-rint-bucle-blue;2
Диван прямой Бонент Velvet Eclipse;79 990;https://www.divan.ru/product/divan-bonent-velvet-eclipse;2
Диван прямой Роттердам Cozy Milk;28 990;https://www.divan.ru/product/divan-rotterdam-cozy-milk;2
Кресло-кровать Види Textile Navy Blue;21 990;https://www.divan.ru/product/kreslo-krovat-vidi-textile-navy-blue;2
Кресло поворотное Теоп Bucle Forest;36 990;https://www.divan.ru/product/kreslo-povorotnoe-teop-bucle-forest;2
Диван угловой Шера Velvet Light;109 990;https://www.divan.ru/product/divan-uglovoj-shera-velve-light;2
Диван прямой Льери Barhat Wet Sand;84 990;https://www.divan.ru/product/divan-leri-barhat-wet-sand;2
Диван прямой Онте Bucle White;98 990;https://www.divan.ru/product/divan-onte-bucle-white;2
Диван прямой Марей Soft Olive;94 990;https://www.divan.ru/product/divan-marej-soft-olive;2
Диван модульный Этен 5 Vertical Terra;77 960;https://www.divan.ru/product/modulnyj-divan-eten-5-vertical-terra;2
Кресло Ансил Bucle Marble;27 990;https://www.divan.ru/product/kreslo-ansil-bucle-marble;2
Диван угловой Виена Velvet Olive;69 990;https://www.divan.ru/product/divan-uglovoj-viena-velvet-olive;2
Диван прямой Мисл Barhat Wet Sand;76 990;https://www.divan.ru/product/divan-misl-barhat-wet-sand;2
Кресло Дженкс Textile Coral;20 990;https://www.divan.ru/product/kreslo-djenks-textile-coral;2
Диван прямой Рейли Velvet Mint;36 990;https://www.divan.ru/product/divan-rejli-velvet-mint;2
Кресло-кровать Кейсес Velvet Olive;22 990;https://www.divan.ru/product/kreslo-krovat-kejses-velvet-olive;2
Диван угловой Нордика мини Velvet Coral;59 990;https://www.divan.ru/product/divan-uglovoj-nordika-mini-velvet-coral;2
Диван угловой Бонент Velvet Grey;89 990;https://www.divan.ru/product/divan-uglovoj-bonent-velvet-grey;2
Диван угловой Эби-1 Velvet Coral;74 990;https://www.divan.ru/product/divan-uglovoj-ebi-1-velvet-coral;2
Диван модульный Brera-2 Velour Mix;105 980;https://www.divan.ru/product/modulnyj-divan-brera-2-velour-mix;2
Кресло Мисл Barhat Wet Sand;35 990;https://www.divan.ru/product/kreslo-misl-barhat-wet-sand;2
Диван угловой Плэнтис Velvet Terra;98 990;https://www.divan.ru/product/divan-uglovoj-plentis-velvet-terra;2
Кресло Роттердам Velvet Yellow;19 990;https://www.divan.ru/product/kreslo-rotterdam-velvet-yellow-new;2
Диван прямой Инес Vertical Mint;46 990;https://www.divan.ru/product/divan-ines-vertical-mint;2
Диван угловой Харинг Soft Terra;98 990;https://www.divan.ru/product/divan-uglovoj-haring-soft-terra;2
Диван прямой Биани Barhat Night;79 990;https://www.divan.ru/product/divan-biani-barhat-night;2
Диван модульный Этен 2 Vertical Jeance;149 940;https://www.divan.ru/product/modulnyj-divan-eten-2-vertical-jeance;2
Диван прямой Ситено Barhat Light;59 990;https://www.divan.ru/product/divan-siteno-barhat-light;2
Диван угловой Онте Bucle Mint;109 990;https://www.divan.ru/product/divan-uglovoj-onte-bucle-mint;3
Пуф Мисл Barhat Wet Sand;19 990;https://www.divan.ru/product/puf-misl-barhat-wet-sand;3
Диван прямой Шилдс Bucle Marble;79 990;https://www.divan.ru/product/divan-shilds-bucle-marble;3
Диван угловой Порту Textile Silver;32 990;https://www.divan.ru/product/divan-uglovoj-portu-textile-silver;3
Диван прямой Арклоу Cozy Ivory;52 990;https://www.divan.ru/product/divan-arklou-cozy-ivory;3
Диван прямой Линс Velvet Navy Blue;34 990;https://www.divan.ru/product/divan-lins-velvet-navy-blue;3
Банкетка Ринт Bucle Yellow;14 990;https://www.divan.ru/product/banketka-rint-bucle-yellow;3
Диван прямой Мелоу Velvet Terra;54 990;https://www.divan.ru/product/divan-pryamoj-melou-velvet-terra;3
Диван угловой Эдвин Velvet Smoke;74 990;https://www.divan.ru/product/divan-uglovoj-edvin-velvet-smoke;3
Пуф Милин Barhat Wet Sand;9990;https://www.divan.ru/product/puf-milin-barhat-wet-sand;3
Диван прямой Бруквиль Velvet Blue;53 990;https://www.divan.ru/product/divan-brukvil-velvet-blue;3
Диван прямой Спейс Velvet Beige;66 990;https://www.divan.ru/product/divan-spejs-velvet-beige;3
Кресло-кровать Маре Мини Velvet Grafit;22 990;https://www.divan.ru/product/kreslo-krovat-mare-mini-velvet-grafit;3
Диван прямой Ларонсо Soft Latte;94 990;https://www.divan.ru/product/divan-laronso-soft-latte;3
Диван прямой Мелоу Velvet Beige;54 990;https://www.divan.ru/product/divan-pryamoj-melou-velvet-beige;3
Диван прямой Нумо Velvet Yellow;38 990;https://www.divan.ru/product/divan-numo-velvet-yellow;3
Диван прямой Клаймар Velvet Beige;59 990;https://www.divan.ru/product/divan-klajmar-velvet-beige;3
